TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Displacement_Score,MA_Uncertainty_pct,MA_Reference,FS,SS,HS,uHS,HF_Score,HF_Uncertainty_pct,HS_Reference,DV_new,uDV,DV_Best_Estimate_old,uDV_old
6774,Loons,Common Loon,COLO,Gavia immer,0.81,0.6,0.94,5,0.167,0.34,0.5,0.336,5,0.1,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.5,0.676,0.588,0.458,4,0.1,"Leirness et al. 2021, Paruk et al. 2021",0.476,0.084,9,0.01
6775,Loons,Yellow-billed Loon,YBLO,Gavia adamsii,0.81,0.6,0.94,5,0.167,0.34,0.5,0.336,5,0.1,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.5,0.646,0.573,0.458,4,0.5,"Leirness et al. 2021, Uher-Koch et al. 2020",0.464,0.084,9,0.05
1842,Grebes,Horned Grebe,HOGR,Podiceps auritus,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.9,0.867,0.583,4,0.1,"eBird 2021, Stedman 2020",0.338,0.231,9,0.05
1845,Grebes,Red-necked Grebe,RNGR,Podiceps grisegena,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.9,0.867,0.583,3,0.1,"eBird 2021, Stout and Nuechterlein 2020",0.338,0.231,8,0.05
1852,Grebes,Eared Grebe,EAGR,Podiceps nigricollis,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.9,0.867,0.583,3,0.5,"eBird 2021, Cullen et al. 2020",0.338,0.231,8,0.25
1864,Grebes,Western Grebe,WEGR,Aechmophorus occidentalis,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.922,0.878,0.458,3,0.5,"LaPorte et al. 2020b, Leirness et al. 2021",0.342,0.116,8,0.25
1867,Grebes,Clarks Grebe,CLGR,Aechmophorus clarkii,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.922,0.878,0.458,3,0.5,"LaPorte et al. 2020a, Leirness et al. 2021",0.342,0.116,8,0.25
6827,Albatross,Laysan Albatross,LAAL,Phoebastria immutabilis,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.333,0.101,0.217,0.458,1,0.5,"Awkerman et al. 2020b, Leirness et al. 2021",0.085,0.116,6,0.25
6828,Albatross,Black-footed Albatross,BFAL,Phoebastria nigripes,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.333,0.339,0.336,0.458,1,0.5,"Awkerman et al. 2020a, Leirness et al. 2021",0.131,0.116,6,0.25
6830,Albatross,Short-tailed Albatross,STAL,Phoebastria albatrus,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.333,0.5,0.417,0.583,1,0.5,"Carboneras et al. 2020a, eBird 2021",0.162,0.231,6,0.25
6932,Petrels and Fulmars,Northern Fulmar,NOFU,Fulmarus glacialis rodgersii,0.28,0.28,NA,1,0.833,0,0.25,0.361,5,0.25,Krijgsveld et al. 2011,0.333,0.642,0.488,0.458,1,0.1,"Mallory et al. 2020, Leirness et al. 2021",0.137,0.09,6,0.025
6953,Petrels and Fulmars,Murphys Petrel,MUPE,Pterodroma ultima,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.833,0.235,0.534,0.458,1,0.5,"Carboneras et al. 2020b, Leirness et al. 2021",0.208,0.116,6,0.25
6966,Petrels and Fulmars,Mottled Petrel,MOPE,Pterodroma inexpectata,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.833,0.7,0.767,0.583,1,0.5,"Carboneras et al. 2020c, eBird 2021",0.299,0.231,6,0.25
6976,Petrels and Fulmars,Hawaiian Petrel,HAPE,Pterodroma sandwichensis,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.833,0.5,0.667,0.583,3,0.5,"eBird 2021, Simons and Hodges 2020",0.26,0.231,8,0.25
6983,Petrels and Fulmars,Cooks Petrel,COPE,Pterodroma cookii,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.833,0.174,0.504,0.458,1,0.5,"Leirness et al. 2021, Carboneras et al. 2020d",0.196,0.116,6,0.25
7038,Shearwaters,Pink-footed Shearwater,PFSH,Ardenna creatopus,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.667,0.377,0.522,0.458,1,0.5,"Carle et al. 2022, Leirness et al. 2021",0.204,0.116,6,0.25
7039,Shearwaters,Flesh-footed Shearwater,FFSH,Ardenna carneipes,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.667,0.571,0.619,0.458,1,0.5,"Carboneras et al. 2020e, Leirness et al. 2021",0.241,0.116,6,0.25
7045,Shearwaters,Bullers Shearwater,BULS,Ardenna bulleri,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.667,0.263,0.465,0.458,1,0.5,"Carboneras et al. 2020f, Leirness et al. 2021",0.181,0.116,6,0.25
7046,Shearwaters,Sooty Shearwater,SOSH,Ardenna grisea,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.5,0.571,0.536,0.458,1,0.1,"Carboneras et al. 2020g, Leirness et al. 2021",0.209,0.116,6,0.05
7047,Shearwaters,Short-tailed Shearwater,STTS,Ardenna tenuirostris,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.5,0.571,0.536,0.458,1,0.5,"Carboneras et al. 2020h, Leirness et al. 2021",0.209,0.116,6,0.25
7053,Shearwaters,Manx Shearwater,MASH,Puffinus puffinus,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.25,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.5,0.5,0.5,0.583,1,0.1,"eBird 2021, Lee et al. 2020",0.195,0.231,6,0.025
7067,Shearwaters,Black-vented Shearwater,BVSH,Puffinus opisthomelas,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.5,0.671,0.586,0.458,2,0.5,"Keitt et al. 2020, Leirness et al. 2021",0.228,0.116,7,0.25
6853,Storm-Petrels,Wilsons Storm-Petrel,WISP,Oceanites oceanicus,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,1,0.7,0.85,0.583,1,0.5,"Drucker et al. 2020, eBird 2021",0.332,0.231,6,0.25
6888,Storm-Petrels,Fork-tailed Storm-Petrel,FTSP,Hydrobates furcatus,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,1,0.164,0.582,0.458,1,0.5,"Boersma and Silva 2021, Leirness et al. 2021",0.227,0.116,6,0.25
6892,Storm-Petrels,Leachs Storm-Petrel,LESP,Hydrobates leucorhous,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,1,0.171,0.585,0.458,1,0.1,"Pollet et al. 2021, Leirness et al. 2021",0.228,0.116,6,0.05
6902,Storm-Petrels,Ashy Storm-Petrel,ASSP,Hydrobates homochroa,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,1,0.893,0.947,0.458,2,0.5,"Ainley et al. 2021, Leirness et al. 2021",0.369,0.116,7,0.25
6913,Storm-Petrels,Black Storm-Petrel,BLSP,Hydrobates melania,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,1,0.43,0.715,0.458,1,0.5,"Everett et al. 2021, Leirness et al. 2021",0.279,0.116,6,0.25
6919,Storm-Petrels,Least Storm-Petrel,LSTP,Hydrobates microsoma,0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,5,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,1,0.7,0.85,0.583,1,0.5,"Carboneras et al. 2021, eBird 2021",0.332,0.231,6,0.25
7216,Cormorants,Brandts Cormorant,BRAC,Urile penicillatus,0.205,0.18,0.23,2,0.667,0.05,0.5,0.406,3,0.5,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.5,0.707,0.603,0.458,2,0.1,"Leirness et al. 2021, Wallace and Wallace 2021",0.124,0.101,5,0.05
7253,Cormorants,Double-crested Cormorant,DCCO,Nannopterum auritum,0.205,0.18,0.23,2,0.667,0.05,0.5,0.406,3,0.5,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.5,1,0.75,0.458,2,0.1,"Dorr et al. 2021, Leirness et al. 2021",0.154,0.101,5,0.05
7218,Cormorants,Pelagic Cormorant,PECO,Urile pelagicus,0.205,0.18,0.23,2,0.667,0.05,0.5,0.406,3,0.5,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.667,0.887,0.777,0.458,2,0.1,"Hobson 2021, Leirness et al. 2021",0.159,0.101,5,0.05
7288,Pelicans,American White Pelican,WIPE,Pelecanus erythrorhynchos,0.865,0.64,0.97,10,0,0.33,0.75,0.36,1,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.9,0.867,0.583,4,0.5,"eBird 2021, Knopf and Evans 2020",0.75,0.18,5,0
7289,Pelicans,Brown Pelican,BRPE,Pelecanus occidentalis,0.865,0.64,0.97,10,0,0.33,0.75,0.36,1,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.5,0.778,0.639,0.458,4,0.5,"Leirness et al. 2021, Shields 2020",0.553,0.09,5,0
6086,Phalaropes,Red-necked Phalarope,RNPH,Phalaropus lobatus,0.27,0.27,NA,1,0.833,0,0.75,0.528,3,0.5,similar spp: shorebirds: Krijgsveld et al. 2011,1,0.448,0.724,0.458,2,0.25,"Leirness et al. 2021, Rubega et al. 2020",0.195,0.132,5,0.125
6085,Phalaropes,Red Phalarope,REPH,Phalaropus fulicarius,0.27,0.27,NA,1,0.833,0,0.75,0.528,3,0.5,similar spp: shorebirds: Krijgsveld et al. 2011,1,0.448,0.724,0.458,2,0.25,"Leirness et al. 2021, Tracy et al. 2020",0.195,0.132,5,0.125
6332,Jaegers and Skuas,South Polar Skua,SPSK,Stercorarius maccormicki,0.14,0,0.28,2,0.667,0.28,0.5,0.482,1,0.5,"similar spp: skuas: Cook et al. 2012, Krijgsveld et al. 2011",0.167,0.373,0.27,0.458,2,0.5,"Leirness et al. 2021, Furness et al. 2020",0.038,0.121,3,0.25
6323,Jaegers and Skuas,Pomarine Jaeger,POJA,Stercorarius pomarinus,0.14,0,0.28,2,0.667,0.28,0.5,0.482,1,0.5,"similar spp: skuas: Cook et al. 2012, Krijgsveld et al. 2011",0.167,0.113,0.14,0.458,2,0.5,"Wiley and Lee 2020a, Leirness et al. 2021",0.02,0.121,3,0.25
6321,Jaegers and Skuas,Parasitic Jaeger,PAJA,Stercorarius parasiticus,0.14,0,0.28,2,0.667,0.28,0.5,0.482,1,0.5,"similar spp: skuas: Cook et al. 2012, Krijgsveld et al. 2011",0.167,0.361,0.264,0.458,2,0.1,"Leirness et al. 2021, Wiley and Lee 2020b",0.037,0.121,3,0.05
6318,Jaegers and Skuas,Long-tailed Jaeger,LTJA,Stercorarius longicaudus,0.14,0,0.28,2,0.667,0.28,0.5,0.482,1,0.5,"similar spp: skuas: Cook et al. 2012, Krijgsveld et al. 2011",0.167,0.361,0.264,0.458,2,0.5,"Wiley and Lee 2020c, Leirness et al. 2021",0.037,0.121,3,0.25
6384,Alcids,Common Murre,COMU,Uria aalge,0.69,0.63,0.72,5,0.167,0.09,0.25,0.169,5,0.1,"Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.5,0.444,0.472,0.458,3,0.1,"Ainley et al. 2021, Leirness et al. 2021",0.326,0.042,8,0.01
6364,Alcids,Pigeon Guillemot,PIGU,Cepphus columba,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.882,0.858,0.458,3,0.25,"Ewins 2020, Leirness et al. 2021",0.583,0.064,8,0.063
6355,Alcids,Marbled Murrelet,MAMU,Brachyramphus marmoratus,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.799,0.816,0.458,3,0.25,"Leirness et al. 2021, Nelson 2020",0.555,0.064,8,0.063
6398,Alcids,Scrippss Murrelet,SCMU,Synthliboramphus hypoleucus,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.747,0.79,0.458,4,0.25,"Drost and Lewis 2020, Leirness et al. 2021",0.537,0.064,9,0.063
6398,Alcids,Guadalupe Murrelet,GUMU,Synthliboramphus hypoleucus,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.747,0.79,0.458,NA,NA,"Leirness et al. 2021, Nettleship and Kiran 2020b",0.537,0.064,NA,0
6400,Alcids,Craveris Murrelet,CRMU,Synthliboramphus craveri,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.9,0.867,0.583,4,0.5,"eBird 2021, Nettleship and Kiran 2020a",0.589,0.128,9,0.125
6393,Alcids,Ancient Murrelet,ANMU,Synthliboramphus antiquus,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.833,0.621,0.727,0.458,3,0.25,"Gaston and Shoji 2020, Leirness et al. 2021",0.494,0.064,8,0.063
6345,Alcids,Cassins Auklet,CAAU,Ptychoramphus aleuticus,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",1,0.523,0.761,0.458,3,0.25,"Ainley et al. 2011, Leirness et al. 2021",0.518,0.064,8,0.063
6351,Alcids,Parakeet Auklet,PAAU,Aethia psittacula,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",1,0.9,0.95,0.583,2,0.25,"eBird 2021, Jones et al. 2020",0.646,0.128,7,0.063
6337,Alcids,Rhinoceros Auklet,RHAU,Cerorhinca monocerata,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.667,0.535,0.601,0.458,3,0.25,"Gaston and Dechesne 2020, Leirness et al. 2021",0.408,0.064,8,0.063
6343,Alcids,Horned Puffin,HOPU,Fratercula corniculata,0.68,0.45,0.72,7,0,0.27,0.5,0.257,5,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.667,0.7,0.683,0.583,3,0.25,"eBird 2021, Piatt and Kitaysky 2020a",0.465,0.128,8,0.063
6338,Alcids,Tufted Puffin,TUPU,Fratercula cirrhata,0.42,0,0.75,4,0.333,0.75,0.25,0.444,3,0.25,"Cook et al. 2012, Peschko et al. 2020b, Skov et al. 2018, Vanermen et al. 2017",0.667,0.908,0.787,0.458,3,0.25,"Leirness et al. 2021, Piatt and Kitayksy 2020b",0.331,0.111,8,0.063
6409,Gulls,Black-legged Kittiwake,BLKI,Rissa tridactyla,0.283,0,0.89,4,0.333,0.89,0.5,0.574,3,0.5,"similar spp: small gulls: Cook et al. 2014; gulls: Cook et al. 2012, Krijgsveld et al. 2011; LIGU: Vanermen et al. 2017",0.5,0.157,0.329,0.458,2,0.1,"Hatch et al. 2020b, Leirness et al. 2021",0.093,0.144,5,0.05
6415,Gulls,Sabines Gull,SAGU,Xema sabini,0.283,0,0.89,4,0.333,0.89,0.5,0.574,3,0.5,"similar spp: small gulls: Cook et al. 2014; gulls: Cook et al. 2012, Krijgsveld et al. 2011; LIGU: Vanermen et al. 2017",0.667,0.427,0.547,0.458,2,0.25,"Day et al. 2020, Leirness et al. 2021",0.155,0.144,5,0.125
6422,Gulls,Bonapartes Gull,BOGU,Chroicocephalus philadelphia,0.298,0,0.639,4,0.333,0.639,0.5,0.491,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.667,0.676,0.672,0.458,2,0.25,"Burger and Gochfeld 2020, Leirness et al. 2021",0.2,0.123,5,0.125
6470,Gulls,Heermanns Gull,HEEG,Larus heermanni,0.298,0,0.639,4,0.333,0.639,0.5,0.491,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.333,0.634,0.484,0.458,1,0.5,"Leirness et al. 2021, Islam and Velarde 2020",0.144,0.123,4,0.25
6477,Gulls,Short-billed Gull,SBIG,Larus brachyrhynchus,0.298,0,0.639,4,0.333,0.639,0.5,0.491,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.333,0.9,0.617,0.583,1,0.5,"eBird 2021, Moskoff and Bevier 2021",0.183,0.245,4,0.25
6479,Gulls,Ring-billed Gull,RBGU,Larus delawarensis,0.298,0,0.473,3,0.5,0.473,0.5,0.491,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; GBBG: Cook et al. 2014, Skov et al. 2018",0,0.9,0.45,0.583,1,0.5,"eBird 2021, Pollet et al. 2020",0.134,0.245,4,0.25
6485,Gulls,Western Gull,WEGU,Larus occidentalis,0.298,0,0.639,4,0.333,0.639,0.5,0.491,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0,0.521,0.26,0.458,1,0.1,"Pierotti and Annett 2020, Leirness et al. 2021",0.077,0.123,4,0.05
6539,Gulls,California Gull,CAGU,Larus californicus,0.298,0,0.473,3,0.5,0.473,0.5,0.491,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; GBBG: Cook et al. 2014, Skov et al. 2018",0,0.87,0.435,0.458,1,0.5,"Leirness et al. 2021, Winkler 2020",0.129,0.123,4,0.25
6496,Gulls,Herring Gull,HERG,Larus argentatus,0.298,0,0.639,4,0.333,0.639,0.5,0.491,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0,0.373,0.186,0.458,1,0.1,"Leirness et al. 2021, Weseloh et al. 2020",0.055,0.123,4,0.05
6553,Gulls,Iceland Gull,ICGU,Larus glaucoides,0.298,0,0.473,4,0.333,0.473,0.5,0.435,3,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; GBBG: Cook et al. 2014, Skov et al. 2018",0,0.373,0.186,0.458,1,0.5,"Leirness et al. 2021, Snell et al. 2020",0.055,0.109,4,0.25
6543,Gulls,Glaucous-winged Gull,GWGU,Larus glaucescens,0.486,0.28,0.7,4,0.333,0.42,0.5,0.418,5,0.5,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0,0.521,0.26,0.458,1,0.25,"Hayward and Verbeek 2020, Leirness et al. 2021",0.127,0.104,4,0.125
6638,Terns,Least Tern,LETE,Sternula antillarum,0.486,0.28,0.7,4,0.333,0.42,0.5,0.418,5,0.5,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.9,0.783,0.583,3,0.5,"eBird 2021, Thompson et al. 2020",0.381,0.209,8,0.25
6649,Terns,Gull-billed Tern,GBTE,Gelochelidon nilotica,0.486,0.28,0.7,4,0.333,0.42,0.5,0.418,5,0.5,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.9,0.783,0.583,2,0.5,"eBird 2021, Molina et al. 2020",0.381,0.209,7,0.25
6657,Terns,Caspian Tern,CATE,Hydroprogne caspia,0.486,0.28,0.7,4,0.333,0.42,0.5,0.418,5,0.5,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.947,0.807,0.458,3,0.5,"Cuthbert and Wires 2020, Leirness et al. 2021",0.392,0.104,8,0.25
6664,Terns,Black Tern,BLTE,Chlidonias niger,0.486,0.28,0.7,4,0.333,0.42,0.5,0.418,5,0.5,"similar spp: Cook et al. 2012; SATE: Harwood et al. 2017, Krijgsveld et al. 2011, van Bemmelen et al. 2023",0.667,0.9,0.783,0.458,3,0.25,"eBird 2021, Heath et al. 2020",0.381,0.104,8,0.125
