alpha_code,taxonomy,common_name,scientific_name,pct_in_CCS_Lower,pct_in_CCS_Upper,CCSpop_Score,CACurrent_breeding,regional,why?,exposure_model
PIGU,"Alcidae (Auks, Murres, and Puffins)",Pigeon Guillemot,Cepphus columba,3.26,4.65,2,TRUE,Y,>1% gobal population uses CCS,PIGU
COLO,Gaviidae (Loons),Common Loon,Gavia immer,29.44,35.2,3,FALSE,Y,>1% gobal population uses CCS,COLO
DCCO,Phalacrocoracidae (Cormorants and Shags),Double-crested Cormorant,Nannopterum auritum,2.46,2.65,2,TRUE,Y,>1% gobal population uses CCS,DCCO
BRAC,Phalacrocoracidae (Cormorants and Shags),Brandt's Cormorant,Urile penicillatus,67.11,71.01,4,TRUE,Y,>1% gobal population uses CCS,BRAC
COPE,Procellariidae (Shearwaters and Petrels),Cook's Petrel,Pterodroma cookii,0,59.34,3,FALSE,Y,>1% gobal population uses CCS,COPE
CATE,"Laridae (Gulls, Terns, and Skimmers)",Caspian Tern,Hydroprogne caspia,7.83,11.75,2,TRUE,Y,>1% gobal population uses CCS,CATE
GUMU,"Alcidae (Auks, Murres, and Puffins)",Guadalupe Murrelet,Synthliboramphus hypoleucus,NA,NA,NA,TRUE,Y,precautionary - poor understanding of nonbreeding range and whether it breeds on Channel Islands,SCMU-GUMU-CRMU
SCMU,"Alcidae (Auks, Murres, and Puffins)",Scripps's Murrelet,Synthliboramphus scrippsi,11.73,23.33,2,TRUE,Y,>1% gobal population uses CCS,SCMU-GUMU-CRMU
CRMU,"Alcidae (Auks, Murres, and Puffins)",Craveri's Murrelet,Synthliboramphus craveri,NA,NA,2,FALSE,Y,>1% gobal population uses CCS,SCMU-GUMU-CRMU
MUPE,Procellariidae (Shearwaters and Petrels),Murphy's Petrel,Pterodroma ultima,NA,NA,2,,Y,>1% gobal population uses CCS,MUPE
ANMU,"Alcidae (Auks, Murres, and Puffins)",Ancient Murrelet,Synthliboramphus antiquus,33.33,33.33,3,FALSE,Y,>1% gobal population uses CCS,ANMU
RTLO,Gaviidae (Loons),Red-throated Loon,Gavia stellata,2.49,4.2,2,FALSE,Y,>1% gobal population uses CCS,RTLO
HOPU,"Alcidae (Auks, Murres, and Puffins)",Horned Puffin,Fratercula corniculata,0.42,0.83,1,FALSE,N,do spend nonbreeding season partially in eastern pacific but typically not considered to be far enough into CCS in large #s,NA
PAAU,"Alcidae (Auks, Murres, and Puffins)",Parakeet Auklet,Aethia psittacula,NA,NA,1,FALSE,N,do spend nonbreeding season partially in eastern pacific but typically not considered to be far enough into CCS in large #s,NA
BRAN,"Anatidae (Ducks, Geese, and Waterfowl)",Brant,Branta bernicla,1.21,40.85,2,FALSE,Y,>1% gobal population uses CCS,NA
HADU,"Anatidae (Ducks, Geese, and Waterfowl)",Harlequin Duck,Histrionicus histrionicus,1.06,1.06,2,FALSE,Y,>1% gobal population uses CCS,NA
COME,"Anatidae (Ducks, Geese, and Waterfowl)",Common Merganser,Mergus merganser,NA,NA,1,FALSE,N,primarily highly coastal/inshore,NA
RBME,"Anatidae (Ducks, Geese, and Waterfowl)",Red-breasted Merganser,Mergus serrator,0.23,1.07,1,FALSE,N,primarily highly coastal/inshore,NA
HOGR,Podicipedidae (Grebes),Horned Grebe,Podiceps auritus,0.16,1.61,1,FALSE,N,primarily highly coastal/inshore,NA
LTDU,"Anatidae (Ducks, Geese, and Waterfowl)",Long-tailed Duck,Clangula hyemalis,NA,NA,1,FALSE,N,vagrant,NA
STAL,Diomedeidae (Albatrosses),Short-tailed Albatross,Phoebastria albatrus,12,12,2,FALSE,Y,>1% gobal population uses CCS,NA
LSTP,Hydrobatidae (Northern Storm-Petrels),Least Storm-Petrel,Hydrobates microsoma,NA,NA,1,FALSE,N,occasional use waters as far up as central california in late summer but vast majority of population in Gulf of CA,NA
TOSP,Hydrobatidae (Northern Storm-Petrels),Townsend's Storm-Petrel,Hydrobates socorroensis,NA,NA,NA,FALSE,Y,Included bc of anticipated range shifts (see Emma vuln update),NA
FOTE,"Laridae (Gulls, Terns, and Skimmers)",Forster's Tern,Sterna forsteri,2.96,6.75,2,TRUE,Y,>1% gobal population uses CCS,NA
RBGU,"Laridae (Gulls, Terns, and Skimmers)",Ring-billed Gull,Larus delawarensis,0.38,1.92,2,FALSE,Y,>1% gobal population uses CCS,NA
SBGU,"Laridae (Gulls, Terns, and Skimmers)",Short-billed Gull,Larus brachyrhynchus,0.05,1.61,2,FALSE,Y,>1% gobal population uses CCS,NA
BLSK,"Laridae (Gulls, Terns, and Skimmers)",Black Skimmer,Rynchops niger,1.27,1.91,2,TRUE,Y,>1% gobal population uses CCS,NA
LETE,"Laridae (Gulls, Terns, and Skimmers)",Least Tern,Sternula antillarum,0.4,19.26,2,FALSE,Y,>1% gobal population uses CCS,NA
GBTE,"Laridae (Gulls, Terns, and Skimmers)",Gull-billed Tern,Gelochelidon nilotica,0.02,0.05,1,TRUE,N,primarily inshore,NA
BLTE,"Laridae (Gulls, Terns, and Skimmers)",Black Tern,Chlidonias niger,0,0.16,1,FALSE,N,"breed inshore, winters farther offshore but not in CCS",NA
WISP,Oceanitidae (Southern Storm-Petrels),Wilson's Storm-Petrel,Oceanites oceanicus,1,1,1,FALSE,N,"very low use, only in nonbreeding season",NA
AWPE,Pelecanidae (Pelicans),American White Pelican,Pelecanus erythrorhynchos,50,50,3,FALSE,N,"inland species, not pelagic",NA
RBTR,Phaethontidae (Tropicbirds),Red-billed Tropicbird,Phaethon aethereus,NA,NA,NA,FALSE,Y,Included bc of anticipated range shifts (see Emma vuln update),NA
EAGR,Podicipedidae (Grebes),Eared Grebe,Podiceps nigricollis,0.47,4.94,2,FALSE,Y,>1% gobal population uses CCS,NA
RNGR,Podicipedidae (Grebes),Red-necked Grebe,Podiceps grisegena,0.92,30,2,FALSE,Y,>1% gobal population uses CCS,NA
MOPE,Procellariidae (Shearwaters and Petrels),Mottled Petrel,Pterodroma inexpectata,0,7.33,2,FALSE,Y,>1% gobal population uses CCS,NA
HAPE,Procellariidae (Shearwaters and Petrels),Hawaiian Petrel,Pterodroma sandwichensis,NA,NA,1,FALSE,Y,Birds of the World cites only 4 reports in CCS since 1986 but seeing a bunch more confirmed reports on ebird. Should highlight as important data need for better understanding of distribution,NA
MASH,Procellariidae (Shearwaters and Petrels),Manx Shearwater,Puffinus puffinus,NA,NA,1,FALSE,N,vagrant,NA
MABO,Sulidae (Boobies and Gannets),Masked Booby,Sula dactylatra,NA,NA,NA,FALSE,Y,Included bc of anticipated range shifts (see Emma vuln update),NA
NABO,Sulidae (Boobies and Gannets),Nazca Booby,Sula granti,NA,NA,NA,FALSE,Y,Included bc of anticipated range shifts (see Emma vuln update),NA
BFBO,Sulidae (Boobies and Gannets),Blue-footed Booby,Sula nebouxii,NA,NA,NA,TRUE,Y,Included bc of anticipated range shifts (see Emma vuln update),NA
COBO,Sulidae (Boobies and Gannets),Coco's Booby,Sula brewsteri,NA,NA,NA,TRUE,Y,Included bc of anticipated range shifts (see Emma vuln update),NA
RFBO,Sulidae (Boobies and Gannets),Red-footed Booby,Sula sula,NA,NA,NA,FALSE,Y,Included bc of anticipated range shifts (see Emma vuln update),NA
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
